2026-04-08T23:27:57 UTC | INFO     | signal_agreement | Signal agreement: m=0.77 s=0.67 e=0.50 v=0.29 -> 0.073
2026-04-08T23:27:57 UTC | INFO     | opportunity_model | Composite confidence: 57.0 (Moderate confidence)
2026-04-08T23:27:57 UTC | INFO     | main | DEBUG confidence FCX: conf=57.0 min=35 risk=21.0 opp=54.8
2026-04-08T23:27:58 UTC | INFO     | financial_parser | NUE: financials fetched OK (price=182.16)
2026-04-08T23:27:58 UTC | INFO     | main | DEBUG filter NUE: ok=True reason=
2026-04-08T23:27:58 UTC | INFO     | volume_confirmation | NUE volume ratio=1.11 score=0.37 label=normal trading activity
2026-04-08T23:27:58 UTC | INFO     | risk_adjusted_momentum | NUE RAM raw=5.74 score=0.79
2026-04-08T23:27:58 UTC | INFO     | multi_timeframe_momentum | NUE MTF 1m=7.854654164673422 3m=7.931083085604048 6m=35.26404447723242 score=0.77
2026-04-08T23:27:58 UTC | INFO     | trend_stability | NUE trend stability: dev=0.0452 score=0.55
2026-04-08T23:27:59 UTC | INFO     | drawdown_risk | NUE drawdown=6.0% score=0.85
2026-04-08T23:27:59 UTC | INFO     | risk_model | Risk score: raw=40.6 penalty=0 mult=1.0 final=40.6
2026-04-08T23:27:59 UTC | INFO     | opportunity_model | Opp score: b1=35.8 b2=66.1 b3=53.6 raw=51.5 x1.0 x1.15 = 59.2
2026-04-08T23:27:59 UTC | INFO     | signal_agreement | Signal agreement: m=0.79 s=0.67 e=0.50 v=0.37 -> 0.097
2026-04-08T23:27:59 UTC | INFO     | opportunity_model | Composite confidence: 52.2 (Moderate confidence)
2026-04-08T23:27:59 UTC | INFO     | main | DEBUG confidence NUE: conf=52.2 min=35 risk=40.6 opp=59.2
2026-04-08T23:28:00 UTC | INFO     | financial_parser | STLD: financials fetched OK (price=187.56)
2026-04-08T23:28:00 UTC | INFO     | main | DEBUG filter STLD: ok=True reason=
2026-04-08T23:28:00 UTC | INFO     | volume_confirmation | STLD volume ratio=0.68 score=0.23 label=lower activity than usual
2026-04-08T23:28:00 UTC | INFO     | risk_adjusted_momentum | STLD RAM raw=4.85 score=0.74
2026-04-08T23:28:00 UTC | INFO     | multi_timeframe_momentum | STLD MTF 1m=3.169811802181451 3m=8.915402337511843 6m=33.228905803325866 score=0.75
2026-04-08T23:28:00 UTC | INFO     | trend_stability | STLD trend stability: dev=0.0473 score=0.53
2026-04-08T23:28:00 UTC | INFO     | drawdown_risk | STLD drawdown=8.6% score=0.79
2026-04-08T23:28:00 UTC | INFO     | risk_model | Risk score: raw=37.8 penalty=0 mult=1.0 final=37.8
2026-04-08T23:28:00 UTC | INFO     | opportunity_model | Opp score: b1=35.6 b2=64.6 b3=47.7 raw=49.6 x1.0 x1.15 = 57.1
2026-04-08T23:28:00 UTC | INFO     | signal_agreement | Signal agreement: m=0.74 s=0.67 e=0.50 v=0.23 -> 0.056
2026-04-08T23:28:00 UTC | INFO     | opportunity_model | Composite confidence: 51.6 (Moderate confidence)
2026-04-08T23:28:00 UTC | INFO     | main | DEBUG confidence STLD: conf=51.6 min=35 risk=37.8 opp=57.1
2026-04-08T23:28:01 UTC | INFO     | financial_parser | CF: financials fetched OK (price=126.16)
2026-04-08T23:28:01 UTC | INFO     | main | DEBUG filter CF: ok=True reason=
2026-04-08T23:28:01 UTC | INFO     | volume_confirmation | CF volume ratio=1.19 score=0.40 label=normal trading activity
2026-04-08T23:28:01 UTC | INFO     | risk_adjusted_momentum | CF RAM raw=18.70 score=1.00
2026-04-08T23:28:01 UTC | INFO     | multi_timeframe_momentum | CF MTF 1m=13.616717058643069 3m=59.639410517405636 6m=38.59440868261152 score=1.00
2026-04-08T23:28:02 UTC | INFO     | trend_stability | CF trend stability: dev=0.2336 score=0.00
2026-04-08T23:28:02 UTC | INFO     | drawdown_risk | CF drawdown=8.3% score=0.79
2026-04-08T23:28:02 UTC | INFO     | risk_model | Risk score: raw=19.2 penalty=0 mult=1.0 final=19.2
2026-04-08T23:28:02 UTC | INFO     | opportunity_model | Opp score: b1=64.6 b2=77.2 b3=54.5 raw=67.6 x1.0 x1.15 = 77.8
2026-04-08T23:28:02 UTC | INFO     | signal_agreement | Signal agreement: m=1.00 s=0.67 e=0.50 v=0.40 -> 0.132
2026-04-08T23:28:02 UTC | INFO     | opportunity_model | Composite confidence: 66.9 (Moderate confidence)
2026-04-08T23:28:02 UTC | INFO     | main | DEBUG confidence CF: conf=66.9 min=35 risk=19.2 opp=77.8
2026-04-08T23:28:03 UTC | INFO     | financial_parser | MOS: financials fetched OK (price=26.62)
2026-04-08T23:28:03 UTC | INFO     | main | DEBUG filter MOS: ok=True reason=
