2026-04-09T21:02:50 UTC | INFO     | main | DEBUG confidence QCOM: conf=48.1 min=35 risk=35.3 opp=43.7
2026-04-09T21:02:50 UTC | INFO     | financial_parser | TXN: using cached financials (1d old)
2026-04-09T21:02:50 UTC | INFO     | main | DEBUG filter TXN: ok=True reason=
2026-04-09T21:02:50 UTC | INFO     | main | AV budget exhausted — skipping AV for TXN
2026-04-09T21:02:50 UTC | INFO     | volume_confirmation | TXN volume ratio=0.81 score=0.27 label=normal trading activity
2026-04-09T21:02:51 UTC | INFO     | risk_adjusted_momentum | TXN RAM raw=6.67 score=0.83
2026-04-09T21:02:51 UTC | INFO     | multi_timeframe_momentum | TXN MTF 1m=8.872677209547307 3m=16.516728533841007 6m=23.30675749642173 score=0.78
2026-04-09T21:02:51 UTC | INFO     | trend_stability | TXN trend stability: dev=0.0490 score=0.51
2026-04-09T21:02:51 UTC | INFO     | drawdown_risk | TXN drawdown=5.1% score=0.87
2026-04-09T21:02:51 UTC | INFO     | risk_model | Risk score: raw=18.3 penalty=0 mult=1.0 final=18.3
2026-04-09T21:02:51 UTC | INFO     | opportunity_model | Opp score: b1=53.7 b2=67.7 b3=43.9 raw=57.3 x1.0 x1.15 = 65.9
2026-04-09T21:02:51 UTC | INFO     | signal_agreement | Signal agreement: m=0.83 s=0.92 e=0.50 v=0.27 -> 0.103
2026-04-09T21:02:51 UTC | INFO     | opportunity_model | Composite confidence: 62.8 (Moderate confidence)
2026-04-09T21:02:51 UTC | INFO     | main | DEBUG confidence TXN: conf=62.8 min=35 risk=18.3 opp=65.9
2026-04-09T21:02:51 UTC | INFO     | financial_parser | NOW: using cached financials (1d old)
2026-04-09T21:02:51 UTC | INFO     | main | DEBUG filter NOW: ok=True reason=
2026-04-09T21:02:51 UTC | INFO     | main | AV budget exhausted — skipping AV for NOW
2026-04-09T21:02:51 UTC | INFO     | volume_confirmation | NOW volume ratio=2.30 score=0.77 label=unusually high trading activity
2026-04-09T21:02:51 UTC | INFO     | unusual_volume | NOW UNUSUAL VOLUME: ratio=2.3x — significantly more active than normal
2026-04-09T21:02:51 UTC | INFO     | risk_adjusted_momentum | NOW RAM raw=-11.88 score=0.00
2026-04-09T21:02:51 UTC | INFO     | multi_timeframe_momentum | NOW MTF 1m=-22.98259404123419 3m=-40.483763292792204 6m=-50.33951496175136 score=0.00
2026-04-09T21:02:51 UTC | INFO     | trend_stability | NOW trend stability: dev=0.0964 score=0.04
2026-04-09T21:02:51 UTC | INFO     | drawdown_risk | NOW drawdown=48.2% score=0.00
2026-04-09T21:02:51 UTC | INFO     | risk_model | Risk score: raw=20.6 penalty=0 mult=1.0 final=20.6
2026-04-09T21:02:51 UTC | INFO     | opportunity_model | Opp score: b1=37.1 b2=23.5 b3=63.8 raw=37.0 x1.0 x1.15 = 42.6
2026-04-09T21:02:51 UTC | INFO     | signal_agreement | Signal agreement: m=0.50 s=0.92 e=0.50 v=0.77 -> 0.176
2026-04-09T21:02:51 UTC | INFO     | opportunity_model | Composite confidence: 55.3 (Moderate confidence)
2026-04-09T21:02:51 UTC | INFO     | main | DEBUG confidence NOW: conf=55.3 min=35 risk=20.6 opp=42.6
2026-04-09T21:02:51 UTC | INFO     | financial_parser | SNOW: using cached financials (1d old)
2026-04-09T21:02:51 UTC | INFO     | main | DEBUG filter SNOW: ok=True reason=
2026-04-09T21:02:51 UTC | INFO     | main | AV budget exhausted — skipping AV for SNOW
2026-04-09T21:02:51 UTC | INFO     | volume_confirmation | SNOW volume ratio=2.45 score=0.82 label=unusually high trading activity
2026-04-09T21:02:51 UTC | INFO     | unusual_volume | SNOW UNUSUAL VOLUME: ratio=2.5x — significantly more active than normal
2026-04-09T21:02:51 UTC | INFO     | risk_adjusted_momentum | SNOW RAM raw=-11.05 score=0.00
2026-04-09T21:02:51 UTC | INFO     | multi_timeframe_momentum | SNOW MTF 1m=-24.57221083238205 3m=-43.36616467102182 6m=-43.682123049226085 score=0.00
2026-04-09T21:02:51 UTC | INFO     | trend_stability | SNOW trend stability: dev=0.1401 score=0.00
2026-04-09T21:02:52 UTC | INFO     | drawdown_risk | SNOW drawdown=50.1% score=0.00
2026-04-09T21:02:52 UTC | INFO     | risk_model | Risk score: raw=43.8 penalty=0 mult=1.0 final=43.8
2026-04-09T21:02:52 UTC | INFO     | opportunity_model | Opp score: b1=35.9 b2=23.5 b3=65.8 raw=36.9 x1.0 x1.15 = 42.5
2026-04-09T21:02:52 UTC | INFO     | signal_agreement | Signal agreement: m=0.50 s=0.92 e=0.50 v=0.82 -> 0.187
2026-04-09T21:02:52 UTC | INFO     | opportunity_model | Composite confidence: 47.4 (Weak confidence)
2026-04-09T21:02:52 UTC | INFO     | main | DEBUG confidence SNOW: conf=47.4 min=35 risk=43.8 opp=42.5
2026-04-09T21:02:52 UTC | INFO     | financial_parser | PLTR: using cached financials (1d old)
2026-04-09T21:02:52 UTC | INFO     | main | DEBUG filter PLTR: ok=True reason=
2026-04-09T21:02:52 UTC | INFO     | main | AV budget exhausted — skipping AV for PLTR
2026-04-09T21:02:52 UTC | INFO     | volume_confirmation | PLTR volume ratio=1.95 score=0.65 label=higher activity than usual
2026-04-09T21:02:52 UTC | INFO     | risk_adjusted_momentum | PLTR RAM raw=-7.47 score=0.13
2026-04-09T21:02:52 UTC | INFO     | multi_timeframe_momentum | PLTR MTF 1m=-13.662825181868229 3m=-28.175907775364546 6m=-28.36910204492234 score=0.08
2026-04-09T21:02:52 UTC | INFO     | trend_stability | PLTR trend stability: dev=0.0314 score=0.69
2026-04-09T21:02:52 UTC | INFO     | drawdown_risk | PLTR drawdown=32.8% score=0.18
2026-04-09T21:02:52 UTC | INFO     | risk_model | Risk score: raw=23.3 penalty=0 mult=1.0 final=23.3
2026-04-09T21:02:52 UTC | INFO     | opportunity_model | Opp score: b1=77.5 b2=28.6 b3=59.1 raw=54.3 x1.0 x1.15 = 62.4
2026-04-09T21:02:52 UTC | INFO     | signal_agreement | Signal agreement: m=0.13 s=0.92 e=0.50 v=0.65 -> 0.038
2026-04-09T21:02:52 UTC | INFO     | opportunity_model | Composite confidence: 58.6 (Moderate confidence)
2026-04-09T21:02:52 UTC | INFO     | main | DEBUG confidence PLTR: conf=58.6 min=35 risk=23.3 opp=62.4
2026-04-09T21:02:52 UTC | INFO     | financial_parser | PANW: using cached financials (1d old)
2026-04-09T21:02:52 UTC | INFO     | main | DEBUG filter PANW: ok=True reason=
2026-04-09T21:02:52 UTC | INFO     | main | AV budget exhausted — skipping AV for PANW
2026-04-09T21:02:52 UTC | INFO     | volume_confirmation | PANW volume ratio=1.23 score=0.41 label=higher activity than usual
2026-04-09T21:02:52 UTC | INFO     | risk_adjusted_momentum | PANW RAM raw=-4.73 score=0.26
2026-04-09T21:02:52 UTC | INFO     | multi_timeframe_momentum | PANW MTF 1m=0.851554322090198 3m=-13.878282233307601 6m=-20.872815198228697 score=0.28
2026-04-09T21:02:52 UTC | INFO     | trend_stability | PANW trend stability: dev=0.0464 score=0.54
2026-04-09T21:02:52 UTC | INFO     | drawdown_risk | PANW drawdown=16.0% score=0.60
2026-04-09T21:02:52 UTC | INFO     | risk_model | Risk score: raw=15.3 penalty=0 mult=1.0 final=15.3
2026-04-09T21:02:52 UTC | INFO     | opportunity_model | Opp score: b1=32.1 b2=37.2 b3=49.4 raw=37.6 x1.0 x1.15 = 43.2
2026-04-09T21:02:52 UTC | INFO     | signal_agreement | Signal agreement: m=0.26 s=0.92 e=0.50 v=0.41 -> 0.049
2026-04-09T21:02:52 UTC | INFO     | opportunity_model | Composite confidence: 54.9 (Moderate confidence)
2026-04-09T21:02:52 UTC | INFO     | main | DEBUG confidence PANW: conf=54.9 min=35 risk=15.3 opp=43.2
2026-04-09T21:02:52 UTC | INFO     | financial_parser | CRWD: using cached financials (1d old)
2026-04-09T21:02:52 UTC | INFO     | main | DEBUG filter CRWD: ok=True reason=
2026-04-09T21:02:52 UTC | INFO     | main | AV budget exhausted — skipping AV for CRWD
2026-04-09T21:02:52 UTC | INFO     | volume_confirmation | CRWD volume ratio=1.30 score=0.43 label=higher activity than usual
2026-04-09T21:02:52 UTC | INFO     | risk_adjusted_momentum | CRWD RAM raw=-4.36 score=0.28
2026-04-09T21:02:52 UTC | INFO     | multi_timeframe_momentum | CRWD MTF 1m=-9.54552636266869 3m=-17.58785791531635 6m=-18.55887155866476 score=0.23
2026-04-09T21:02:52 UTC | INFO     | trend_stability | CRWD trend stability: dev=0.0588 score=0.41
2026-04-09T21:02:52 UTC | INFO     | drawdown_risk | CRWD drawdown=24.7% score=0.38
2026-04-09T21:02:52 UTC | INFO     | risk_model | Risk score: raw=41.1 penalty=0 mult=1.0 final=41.1
2026-04-09T21:02:52 UTC | INFO     | opportunity_model | Opp score: b1=47.5 b2=36.3 b3=50.4 raw=43.6 x1.0 x1.15 = 50.1
2026-04-09T21:02:52 UTC | INFO     | signal_agreement | Signal agreement: m=0.28 s=0.92 e=0.50 v=0.43 -> 0.056
2026-04-09T21:02:52 UTC | INFO     | opportunity_model | Composite confidence: 48.4 (Weak confidence)
2026-04-09T21:02:52 UTC | INFO     | main | DEBUG confidence CRWD: conf=48.4 min=35 risk=41.1 opp=50.1
2026-04-09T21:02:52 UTC | INFO     | financial_parser | ZS: using cached financials (1d old)
2026-04-09T21:02:52 UTC | INFO     | main | DEBUG filter ZS: ok=True reason=
2026-04-09T21:02:52 UTC | INFO     | main | AV budget exhausted — skipping AV for ZS
2026-04-09T21:02:52 UTC | INFO     | volume_confirmation | ZS volume ratio=2.42 score=0.81 label=unusually high trading activity
2026-04-09T21:02:52 UTC | INFO     | unusual_volume | ZS UNUSUAL VOLUME: ratio=2.4x — significantly more active than normal
2026-04-09T21:02:53 UTC | INFO     | risk_adjusted_momentum | ZS RAM raw=-11.57 score=0.00
2026-04-09T21:02:53 UTC | INFO     | multi_timeframe_momentum | ZS MTF 1m=-21.952619321518302 3m=-47.123204092175335 6m=-58.247650433156764 score=0.00
2026-04-09T21:02:53 UTC | INFO     | trend_stability | ZS trend stability: dev=0.1804 score=0.00
2026-04-09T21:02:53 UTC | INFO     | drawdown_risk | ZS drawdown=51.4% score=0.00
2026-04-09T21:02:53 UTC | INFO     | risk_model | Risk score: raw=48.6 penalty=0 mult=1.0 final=48.6
2026-04-09T21:02:53 UTC | INFO     | opportunity_model | Opp score: b1=30.2 b2=23.5 b3=65.4 raw=34.6 x1.0 x1.15 = 39.7
2026-04-09T21:02:53 UTC | INFO     | signal_agreement | Signal agreement: m=0.50 s=0.92 e=0.50 v=0.81 -> 0.185
2026-04-09T21:02:53 UTC | INFO     | opportunity_model | Composite confidence: 44.7 (Weak confidence)
2026-04-09T21:02:53 UTC | INFO     | main | DEBUG confidence ZS: conf=44.7 min=35 risk=48.6 opp=39.7
2026-04-09T21:02:53 UTC | INFO     | financial_parser | FTNT: using cached financials (1d old)
2026-04-09T21:02:53 UTC | INFO     | main | DEBUG filter FTNT: ok=True reason=
2026-04-09T21:02:53 UTC | INFO     | main | AV budget exhausted — skipping AV for FTNT
2026-04-09T21:02:53 UTC | INFO     | volume_confirmation | FTNT volume ratio=1.12 score=0.37 label=normal trading activity
2026-04-09T21:02:53 UTC | INFO     | risk_adjusted_momentum | FTNT RAM raw=1.50 score=0.57
2026-04-09T21:02:53 UTC | INFO     | multi_timeframe_momentum | FTNT MTF 1m=-4.204267713107934 3m=0.7998088551512383 6m=-5.01647974410083 score=0.47
2026-04-09T21:02:53 UTC | INFO     | trend_stability | FTNT trend stability: dev=0.0167 score=0.83
2026-04-09T21:02:53 UTC | INFO     | drawdown_risk | FTNT drawdown=8.2% score=0.80
2026-04-09T21:02:53 UTC | INFO     | risk_model | Risk score: raw=20.2 penalty=0 mult=1.0 final=20.2
2026-04-09T21:02:53 UTC | INFO     | opportunity_model | Opp score: b1=56.0 b2=53.3 b3=48.0 raw=53.3 x1.0 x1.15 = 61.3
2026-04-09T21:02:53 UTC | INFO     | signal_agreement | Signal agreement: m=0.57 s=0.92 e=0.50 v=0.37 -> 0.098
2026-04-09T21:02:53 UTC | INFO     | opportunity_model | Composite confidence: 60.5 (Moderate confidence)
2026-04-09T21:02:53 UTC | INFO     | main | DEBUG confidence FTNT: conf=60.5 min=35 risk=20.2 opp=61.3
2026-04-09T21:02:53 UTC | INFO     | financial_parser | DDOG: using cached financials (1d old)
2026-04-09T21:02:53 UTC | INFO     | main | DEBUG filter DDOG: ok=True reason=
